地域,ちいき,地域情報,地域社会,地域密着,地域住民,地域別
秘伝,ひでん,秘伝のタレ,秘伝書,秘伝の味,秘伝のもみ,社中秘伝
暮し,くらし,田舎暮し,暮し生活,暮しをする,暮しの中,暮しと生活
呼び名,よびな,呼び名を入力,呼び名を入力する,呼び名もある,言う呼び名,別の呼び名
異論,いろん,異論はない,異論を唱える,異論は認める,異論はある,異論もある
延び,のび,長く延び,延びに延び,方向に延び,年延び,週間延び
値打ち,ねうち,値打ち価格,値打ちプラン,値打ち品,値打ちもない,値打ち感
誤字,ごじ,誤字がない,誤字だらけ,誤字が多い,誤字修正,不具合や誤字
酒蔵,さかぐら,酒蔵見学,酒蔵通り,酒蔵さん,番酒蔵,酒蔵札所
居宅,きょたく,指定居宅,型居宅,居宅生活,居宅要,特例居宅
変異,へんい,変異体,遺伝子変異,変異原,変異型,変異株
敬語,けいご,敬語を使う,敬語の使い方,敬語表現,敬語で話す,正しい敬語
盛り合わせ,もりあわせ,種盛り合わせ,前菜盛り合わせ,造り盛り合わせ,前菜の盛り合わせ,天ぷら盛り合わせ
官公庁,かんこうちょう,官公庁その他,役所官公庁,電報官公庁,官公庁向け,官公庁の大型
若松,わかまつ,若松区,市若松,若松町,若松孝二,若松さん
異変,いへん,異変を感じる,体に異変,体の異変,身体に異変,異変を察知
独創,どくそう,独創的,独創性,独創力,独創技術,非常に独創
会派,かいは,統一会派,最大会派,会派代表,社会派,我が会派
背面,はいめん,背面側,本体背面,背面部,背面飛行,ジャケット背面
担い手,にないて,担い手育成,担い手となる,農業の担い手,担い手の育成,農業担い手
黒糖,こくとう,黒糖入り,産黒糖,黒糖梅酒,産の黒糖,黒糖味
共著,きょうちょ,共著書,共著の別,共著区分,氏と共著,共著の場合
届ける,とどける,声を届ける,無料で届ける,届ける投資,情報を届ける,手紙を届ける
忠告,ちゅうこく,忠告を受ける,忠告をする,忠告を無視,忠告を無視する,会長に忠告
射程,しゃてい,射程外,射程内,有効射程,最大射程,射程が短い
座標,ざひょう,座標系,座標値,次元座標,直交座標,点の座標
主将,しゅしょう,部主将,部の主将,代表主将,主将の妹,主将を務める
難病,なんびょう,神経難病,難病対策,難病指定,難病相談,難病のこども
退社,たいしゃ,退社後,定時退社,退社時間,円満退社,退社時
尊厳,そんげん,人間の尊厳,尊厳死,個人の尊厳,尊厳を守る,生命の尊厳
遺構,いこう,城の遺構,時代の遺構,状遺構,石遺構,遺構面
卵巣,らんそう,卵巣がん,卵巣機能,性卵巣,子宮や卵巣,卵巣ガン
和装,わそう,和装小物,和装前,和装本,日本和装,和装用
遊覧,ゆうらん,遊覧船,遊覧飛行,観光遊覧,セスナ遊覧,遊覧船乗り
優勢,ゆうせい,優勢となる,売り優勢,買い優勢,優勢の展開,航空優勢
奏でる,かなでる,音を奏でる,音楽を奏でる,音色を奏でる,奏でる音,奏でる音楽
可否,かひ,可否同数,予約の可否,利用可否,可否を決定,可否を決定する
高裁,こうさい,東京高裁,高裁判決,名古屋高裁,広島高裁,財高裁
刻印,こくいん,刻印入り,刻印機,文字刻印,刻印可能,名前を刻印
勤める,つとめる,勤める会社,講師を勤める,勤める会社,勤める会社,勤める友人
乱入,らんにゅう,部屋に乱入,乱入事件,中に乱入,会に乱入
段取り,だんどり,段取りをする,仕事の段取り,段取りが悪い,段取り力,段取りの悪
蒸発,じょうはつ,蒸発する名無し,水分の蒸発,蒸発器,蒸発量,蒸発を防ぐ
割安,わりやす,割安感,割安株,割安と判断,割安度,価値や割安
厳禁,げんきん,厳禁とする,火気厳禁,土足厳禁,流出は厳禁,使用は厳禁
完熟,かんじゅく,完熟トマト,完熟梅,産完熟,完熟南,完熟りんご
呼ばわり,よばわり,アホ呼ばわり,無能呼ばわり,お前呼ばわり,変態呼ばわり,クズ呼ばわり
穴場,あなば,穴場的,穴場スポット,穴場情報,穴場ポイント,穴場の絶景
供する,きょうする,供する部分,供する土地,供する建築,供する目的,供する場所
散乱,さんらん,光散乱,散乱光,散乱法,散乱防止,ラマン散乱
収束,しゅうそく,社会収束,収束点,収束の潮流,外向収束,収束性
難解,なんかい,非常に難解,難解すぎ,信難解
裏付け,うらづけ,裏付けとなる,的裏付け,裏付けがない,裏付けを進める,実績に裏付け
収まる,おさまる,収まるサイズ,収まる気配,収まるところ,収まるはず,風も収まる
退去,たいきょ,強制退去,退去時,国外退去,退去強制,退去処分
王座,おうざ,王座決定,王座戦,級王座,世界王座,タッグ王座
模試,もし,全国模試,模試の結果,模試を受ける,公開模試,研模試
残存,ざんそん,残存期間,残存価額,平均残存,残存勤務,残存有効
税収,ぜいしゅう,税収減,税収増,税収不足,円の税収,法人税収
簡素,かんそ,手続きの簡素,手続の簡素,事務の簡素,非常に簡素,簡素合理
喜劇,きげき,喜劇的,喜劇王,喜劇役者,喜劇観覧,人情喜劇
探り,さぐり,探りを入れる,探り探り,腹の探り,地点の探り,探りあて
従軍,じゅうぐん,従軍記者,従軍看護,戦争に従軍,従軍記,軍に従軍
一段,いちだん,一段目,一段高,一段上,一段下,一段安
一寸,ちょっと,一寸先,一寸の虫,一寸見る
亡命,ぼうめい,亡命政府,チベット亡命,亡命先,亡命中,日本に亡命
裏話,うらばなし,業界の裏話,業界裏話,仕事の裏話,取材の裏話,制作裏話
土俵,どひょう,同じ土俵,土俵上,土俵の上,判断の土俵,土俵下
子宝,こだから,子宝の湯,子宝温泉,子宝草,子宝安産,供養子宝
鉄筋,てっきん,鉄筋工事,鉄筋家族,鉄筋量,鉄筋工,鉄筋コンクリ
小銭,こぜに,小銭入れ,小銭を入れる,小銭を用意,小銭入,小銭貯金
土下座,どげざ,土下座をする,土下座外交,前で土下座,焼き土下座,土下座謝罪
降水,こうすい,降水量,降水確率,年間降水,気温と降水,平均降水
納車,のうしゃ,納車時,納車後,納車前,納車整備,納車待ち
沿革,えんかく,沿革史,学校の沿革,会社沿革,学校沿革,列車沿革
閉会,へいかい,閉会式,閉会中,閉会後,国会閉会,閉会となる
呼べる,よべる,客を呼べる,親友と呼べる,呼べる会社,呼べる存在,名を呼べる
社宅,しゃたく,社宅住まい,社宅制度,借り上げ社宅,借上げ社宅,上社宅
除草,じょそう,除草作業,除草機,除草効果,中耕除草,除草をする
落とし穴,おとしあな,大きな落とし穴,開業の落とし穴,コツと落とし穴,単価の落とし穴,社会の落とし穴
預言,よげん,預言書,聖書の預言,法と預言,預言的,預言の成就
私服,しふく,私服姿,私服警官,私服を肥やす,私服を着,アルバイト私服
高専,こうせん,高専生,高専賃,高専卒,商船高専,工業高専
降格,こうかく,降格争い,部降格,降格処分,自動降格,軍降格
新装,しんそう,新装版,新装開店,増補新装,新装刊,便覧新装
裏表,うらおもて,裏表紙,裏表が激しい,コインの裏表,裏表がない,本の裏表
梅干し,うめぼし,梅干し作り,紀州梅干し,梅干しの種,梅干し用,梅干し専門
貴社,きしゃ,貴社の製品,貴社の情報,貴社に提示,貴社名,貴社益
傷つける,きずつける,頭皮を傷つける,相手を傷つける,心を傷つける,自分を傷つける,他人を傷つける
有り難い,ありがたい,本当に有り難い,誠に有り難い,有り難味,有り難く思い,有り難い限り
府警,ふけい,京都府警,府警察,府警本部,府警南,府警生活
至上,しじょう,至上主義,至上命題,至上命令,白人至上,経済至上
連呼,れんこ,名前を連呼,名前を連呼する,ネトウヨ連呼,言葉を連呼,名前連呼
裁量,さいりょう,裁量権,裁量労働,自由裁量,裁量的,裁量の余地
雑穀,ざっこく,雑穀米,六雑穀,雑穀ごはん,雑穀ご飯,雑穀類
討議,とうぎ,討議を行う,自由討議,討議会,問題を討議,討議資料
党員,とういん,共産党員,民主党員,党員集会,党員数,党員たち
映り,うつり,映りが悪い,写真映り,テレビの映り,テレビ映り,顔映り
巻末,かんまつ,巻末コメント,巻末付録,巻末資料,巻末の解説,巻の巻末
密集,みっしゅう,密集地,住宅密集,密集市街地,人口密集,密集地帯
破片,はへん,ガラスの破片,土器の破片,小さな破片,鏡の破片,ガラス破片
波乱,はらん,一波乱,波乱の人生,波乱の幕開け,波乱の展開,波乱の予感
段落,だんらく,行と段落,段落目,改行や段落,最後の段落,段落ごと
映え,はえ,変わり映え,見映え,青空に映え,美しく映え,良く映え
軽視,けいし,人命軽視,議会軽視,軽視しがち,軽視しがち,性を軽視
裏腹,うらはら,言葉と裏腹,見た目と裏腹,裏腹の関係,気持ちと裏腹
道筋,みちすじ,道筋を示す,道筋をつける,至る道筋,街道筋,解決の道筋
親善,しんぜん,親善試合,親善大使,国際親善,友好親善,米親善
改憲,かいけん,改憲派,改憲論,改憲手続き,条改憲,改憲案
並列,へいれつ,並列処理,並列計算,並列的,並列接続,並列に接続
王将,おうしょう,王将戦,女流王将,羽生王将,京都王将,期王将
縦断,じゅうだん,列島縦断,日本縦断,縦断名無し,全国縦断,縦断の旅
所存,しょぞん,参る所存,行く所存,努力する所存,努める所存,思う所存
絶頂,ぜっちょう,絶頂期,人気絶頂,幸せの絶頂,バブル絶頂,絶頂感
出納,すいとう,出納員,出納帳,現金出納,出納長,出納機関
届け先,とどけさき,届け先住所,届け先様,届け先を入力,届け先情報,届け先の地域
結納,ゆいのう,結納で利用,結納金,結納返し,結納品,結納式
度胸,どきょう,度胸試し,度胸がない,度胸はない,良い度胸,度胸もない
水域,すいいき,経済水域,用水域,危険水域,汽水域,水域の水質
幼女,ようじょ,連続幼女,美幼女,幼女アナ,幼女殺害,幼女好き
苦難,くなん,苦難の道,苦難の歴史,苦難の末,苦難の中,苦難の時代
皇居,こうきょ,皇居前,皇居東,皇居周辺,皇居内,皇居の周り
激動,げきどう,激動の時代,激動の昭和,激動の政治,視点で激動,激動の幕末
異色,いしょく,異色作,異色の経歴,異色の存在,異色の作品,異色作家
秘境,ひきょう,秘境駅,最後の秘境,秘境の湯,秘境の地,日本の秘境
洗礼,せんれい,洗礼を受ける,洗礼名,洗礼式,洗礼を授ける,洗礼を浴びる
遺物,いぶつ,過去の遺物,出土遺物,時代の遺物,聖遺物,出土する遺物
染まる,そまる,染まる坂,血で染まる,染まる空,染まる海,染まり具合
首筋,くびすじ,首筋に顔,白い首筋,首筋にキス,首筋に舌,細い首筋
博覧,はくらん,博覧会,国際博覧,緑の博覧,海洋博覧,旅博覧
樹林,じゅりん,樹林帯,樹林の中,樹林地,落葉樹林,樹林の間
中将,ちゅうじょう,陸軍中将,頭中将,海軍中将,位中将,頭の中将
編著,へんちょ,会編著,編著出版,編著書,部編著,編著作
巻頭,かんとう,巻頭言,巻頭特集,巻頭グラビア,号巻頭,巻頭エッセイ
映える,はえる,映える紅葉,良く映える,映えるデザイン,映える色,映える桜
有難い,ありがたい,本当に有難い,有難く思い,有難い限り,誠に有難い,有難い存在
電脳,でんのう,電脳コイル,電脳世界,電脳街,電脳空間,オタクの電脳
規律,きりつ,財政規律,服務規律,規律を守る,規律委員,自己規律
収める,おさめる,成功を収める,勝利を収める,成績を収める,勝ちを収める,成果を収める
将校,しょうこう,青年将校,軍将校,将校たち,海軍将校,陸軍将校
至極,しごく,至極に存じ,至極の一,祝着至極
重奏,じゅうそう,四重奏,重奏曲,五重奏,重奏団,三重奏
遺品,いひん,遺品整理,遺品処理,遺品の整理,遺品を整理,遺品の中
密教,みっきょう,真言密教,チベット密教,密教法,密教系,密教的
臨場,りんじょう,臨場感,現場の臨場
遺骨,いこつ,遺骨収集,遺骨を納める,遺骨を保管,遺骨を保管する,遺骨の一部
退任,たいにん,退任後,退任式,首相退任,社長退任,退任記念
退散,たいさん,早めに退散,前に退散
忠誠,ちゅうせい,忠誠心,忠誠度,絶対の忠誠,国家に忠誠,的忠誠
創始,そうし,学の創始,運動の創始,創始改名,創始期,会の創始
大樹,たいじゅ,大樹町,大樹さん,郡大樹,大樹君,大樹くん
終値,おわりね,前日終値,終値比,東証終値,午前終値,前日の終値
射殺,しゃさつ,射殺事件,市長射殺,場で射殺,連続射殺,射殺体
水洗い,みずあらい,水洗いをする,軽く水洗い,水洗い後,水洗い可能,水洗いする後
亡くなる,なくなる,事故で亡くなる,亡くなる前,病気で亡くなる,亡くなる直前,病院で亡くなる
若返り,わかがえり,若返りを図る,美容若返り,若返り術,若返り法,若返りの薬
最盛,さいせい,最盛期,出荷最盛,最盛時,紅葉の最盛,花の最盛
中退,ちゅうたい,高校中退,中退後,大学中退,高校を中退,大学を中退
朝晩,あさばん,毎日朝晩,朝晩の気温,朝晩は寒い,朝晩の洗顔,最近朝晩
胸部,きょうぶ,胸部レントゲン,胸部外科,胸部大動脈,胸部エックス線,胸部単純
否認,ひにん,容疑を否認,容疑を否認する,事実を否認,権の否認,一部否認
優美,ゆうび,優美堂,優美さん,優美ちゃん
正座,せいざ,正座をする,前に正座,前で正座,上に正座,前で正座する
三蔵,さんぞう,三蔵法師,三蔵様,三蔵さん,日下三蔵,保坂三蔵
極秘,ごくひ,極秘情報,極秘裏,極秘任務,極秘文書,極秘プロジェクト
推察,すいさつ,容易に推察,推察の通り,推察通り,推察のとおり,私は推察
幼なじみ,おさななじみ,幼なじみの女の子,主人公の幼なじみ,幼なじみの少女,私の幼なじみ
肺がん,はいがん,肺がん検査,肺がんの原因,肺がん手術,肺がんで死去,性肺がん
地層,ちそう,地層処分,前の地層,深地層,地層研究所,地層中
夕刻,ゆうこく,夕刻の備忘録,本日夕刻,良い夕刻,昨日の夕刻,夕刻以降
激痛,げきつう,激痛を感じる,走る激痛,背中に激痛,激痛の中
教皇,きょうこう,教皇庁,教皇様,教皇ベネディクト,教皇ヨハネ,教皇領
恩返し,おんがえし,恩返しをする,氏に恩返し,恩返しのつもり,種島の恩返し,恩返しの意味
背骨,せぼね,背骨のゆがみ,背骨の中,背骨の間
至近,しきん,駅至近,コンビニ至近,サカス至近,至近の好,公園至近
署長,しょちょう,警察署長,消防署長,署長さん,条署長,署の署長
真紅,しんく,真紅眼,真紅さん,真紅のバラ,真紅の花,真紅の独り言
傷口,きずぐち,傷口を広げる,傷口に塩,傷口を見る,傷口を消毒,傷口の消毒
裏手,うらて,神社の裏手,家の裏手,駅の裏手,店の裏手,建物の裏手
推計,すいけい,推計人口,推計値,人口推計,将来推計,推計結果
下層,かそう,下層階級,下層民,下層部,下層社会,下層階
警部,けいぶ,銭形警部,暮警部,警部さん,警部役,中森警部
延命,えんめい,延命地蔵,延命効果,延命策,延命水,延命処置
密室,みっしつ,密室殺人,密室の中,密室トリック,密室状態,密室劇
訳者,やくしゃ,訳者名,訳者あとがき,訳者注,訳者独り言,訳者解説
絵巻,えまき,源氏物語絵巻,戦国絵巻,歴史絵巻,時代絵巻,王朝絵巻
割高,わりだか,割高感,割高と判断,割高となる,若干割高,割高に感じ
異質,いしつ,異質性,明らかに異質,派の異質,異質の存在,異質的
染料,せんりょう,天然染料,化学染料,植物染料,染料インク,用染料
窓際,まどぎわ,窓際の席,窓際族,窓際席,階の窓際,部屋の窓際
温存,おんぞん,体力温存,温存手術,体力を温存,体力を温存する,温存術
忘れ物,わすれもの,忘れ物をする,忘れ物を取る,忘れ物がない,忘れ物はない,忘れ物が多い
翌月,よくげつ,月の翌月,翌月分,翌月以降,翌月末,翌月末日
恩師,おんし,時代の恩師,私の恩師,恩師の先生,恩師の言葉,大学の恩師
弁済,べんさい,弁済を受ける,代位弁済,弁済期,弁済をする,代物弁済
聖母,せいぼ,聖母マリア,聖母像,聖母病院,聖母学院,聖母教会
疑似,ぎじ,疑似体験,疑似科学,疑似連,疑似的,疑似家族
刻む,きざむ,時を刻む,歴史を刻む,リズムを刻む,名を刻む,名前を刻む
表層,ひょうそう,表層的,表層部,表層水,地球表層,表層意識
気密,きみつ,気密性,気密高,気密住宅,気密性能,気密測定
拝観,はいかん,拝観料,特別拝観,夜間拝観,拝観時間,拝観券
裏返し,うらがえし,愛情の裏返し,コンプレックスの裏返し,感の裏返し,期待の裏返し
退学,たいがく,退学処分,自主退学,生徒を退学,学校を退学,高校を退学
災難,さいなん,ロシナンテの災難,降りる災難,大きな災難,少女の災難
秘話,ひわ,誕生秘話,開発秘話,制作秘話,歴史秘話,感動秘話
権現,ごんげん,蔵王権現,権現様,権現社,子の権現,社権現
収蔵,しゅうぞう,収蔵品,収蔵庫,収蔵資料,収蔵作品,点を収蔵
至急,しきゅう,至急教える
光源,こうげん,点光源,光源氏,用光源,光源装置,光源とする
沿道,えんどう,道路沿道,沿道地区,道路の沿道,沿道整備,沿道住民
死傷,ししょう,死傷事故,多数の死傷,多くの死傷,死傷病,死傷する事故
朗報,ろうほう,お客様に朗報,男性に朗報,アナタに朗報,様に朗報,ファンに朗報
密閉,みっぺい,密閉型,密閉容器,密閉性,密閉式,密閉空間
降雨,こうう,降雨量,降雨時,人工降雨,降雨後,降雨強度
党内,とうない,民主党内,党内民主,党内議論,党内論議,共産党内
合奏,がっそう,合奏団,器楽合奏,合奏曲,室内合奏,合奏練習
流派,りゅうは,他の流派,流派東方,流派名,多くの流派,流派の一つ
切腹,せっぷく,切腹しろ切腹,切腹を命じる,切腹を命じられる,切腹の場,切腹をする
内覧,ないらん,内覧会,完成内覧,内覧可能,マンション内覧,内覧希望
帯域,たいいき,周波数帯域,帯域制限,メモリ帯域,帯域保証,広い帯域
両論,りょうろん,賛否両論,両論はある,両論の意見,両論を巻き起こす,両論みたい
吸入,きゅうにゅう,酸素吸入,吸入器,吸入ステロイド,吸入薬,吸入口
純情,じゅんじょう,純情派,純情ロマン,っ子純情,純情伝,幕末純情
台座,だいざ,台座の上,台座付き,台座部分,専用台座,像の台座
後ろ姿,うしろすがた,後ろ姿を見る,後ろ姿を見送る,後ろ姿を見つめる,君の後ろ姿,男の後ろ姿
系図,けいず,略系図,系図や日本,家系図,氏系図,婦系図
脳死,のうし,脳死判定,脳死状態,脳死移植,脳死臓器,脳死と判定
乱立,らんりつ,スレ乱立,スレを乱立,スレの乱立,乱立スレ,スレッド乱立
殺傷,さっしょう,殺傷事件,殺傷能力,殺傷力,差別殺傷,児童殺傷
片足,かたあし,片足立ち,片足を上げる,片足で立つ,片足上げ,片足タックル
下巻,げかん,上下巻,下巻セット,下巻講義,上巻と下巻,フルメタルパニック下巻
男優,だんゆう,男優賞,主演男優,助演男優,男優さん,男優一覧
正絹,しょうけん,正絹ちり,正絹帯,正絹訪問,高級正絹,正絹着物
高貴,こうき,高貴薬,操る高貴,高貴にプレシャスレッド
善悪,ぜんあく,善悪の判断,善悪の区別,善悪二元論,善悪を判断,善悪の基準
ひび割れ,ひびわれ,ひび割れ補修,ひび割れ防止,ひび割れの原因,ひび割れ発生,収縮ひび割れ
純一,じゅんいつ,石田純一,純一さん,純一氏,矢追純一,春田純一
月収,げっしゅう,平均月収,月収例,月収数,月収額,手取り月収
砂防,さぼう,砂防ダム,砂防工事,砂防事業,砂防法,砂防えん
探知,たんち,探知機,金属探知,群探知,探知器,探知犬
垂水,たるみ,垂水区,市垂水,垂水市,垂水駅,垂水店
縮尺,しゅくしゃく,場所や縮尺,縮尺の地図,地図の縮尺,縮尺を変える,縮尺率
降板,こうばん,失点で降板,番組降板,降板後,番組を降板,役を降板
割れる,われる,割れる音,割れ大根,割れ窓,割れチョコ,割れる可能
乗降,じょうこう,乗降客,乗降客数,乗降場,乗降口,乗降人員
私学,しがく,私学助成,私学共済,私学教育,県私学,私学大会
株券,かぶけん,自己株券,株券買,株券電子,株券を発行,株券を発行する
預ける,あずける,荷物を預ける,子供を預ける,体を預ける,身を預ける,背を預ける
君臨,くんりん,頂点に君臨,トップに君臨,上に君臨,座に君臨,世界に君臨
海沿い,うみぞい,海沿いの道,海沿いを走る,海沿いドライブ,海沿いの町,海沿いの国道
鋼板,こうはん,バリウム鋼板,延鋼板,ステンレス鋼板,メッキ鋼板,鋼板製
仮装,かそう,仮装行列,仮装大賞,仮装をする,仮装衣装,仮装大会
晩秋,ばんしゅう,年晩秋,晩秋の紅葉,晩秋の候,年の晩秋,晩秋の京都
支庁,しちょう,支庁管内,上川支庁,空知支庁,十勝支庁,総合支庁
探究,たんきゅう,探究心,的探究,真理の探究,真理を探究,探究活動
紅い,あかい,紅い花,紅く染め,紅い月,紅い眼鏡,紅い色
片思い,かたおもい,片思い中,片思いの相手,片思いをする,アルゼンチン片思い,永遠の片思い
物欲,ぶつよく,スタッフの物欲,物欲日記,物欲しげ,物欲しげ,物欲に負け
裏金,うらがね,裏金問題,裏金作り,裏金づくり,警察の裏金,道警裏金
歯並び,はならび,歯並びが悪い,歯並びを治す,歯並びチェック,美しい歯並び,悪い歯並び
就く,つく,就く前,就く予定,就く場合
画策,かくさく,画策中,画策をする
納める,おさめる,税金を納める,料を納める,税を納める,金を納める,納め時
割愛,かつあい,今回は割愛,説明は割愛,一部割愛,内容は割愛,今回は割愛する
弁論,べんろん,口頭弁論,弁論大会,最終弁論,弁論期日,弁論準備
遺書,いしょ,遺書を残す,遺書を書く,国民の遺書,遺書は見つかる,遺書の内容
陽射し,ひざし,陽射しの中,強い陽射し,春の陽射し,陽射しが強い,夏の陽射し
近視,きんし,品川近視,近視クリニック,強度近視,近視手術,仮性近視
否決,ひけつ,案を否決,参議院で否決,案否決,多数で否決,参院で否決
厳守,げんしゅ,秘密厳守,時間厳守,秘密は厳守,厳守でお願い,用量を厳守
裏切る,うらぎる,期待を裏切る,予想を裏切る,自分を裏切る,意味で裏切る,決して裏切る
染める,そめる,手を染める,染める前,色を染める,染める時,染めるとき
鋼鉄,こうてつ,鋼鉄製,鋼鉄天使,鋼鉄三国志,鋼鉄神,鋼鉄集団
派兵,はへい,イラク派兵,海外派兵,自衛隊派兵,派兵反対,派兵に反対
灰皿,はいざら,灰皿代わり,用灰皿,灰皿の中,用品灰皿,灰皿の上
臨界,りんかい,臨界事故,臨界点,臨界流体,臨界水,臨界期
山系,さんけい,大雪山系,比良山系,日高山系,多良山系,山系の山
痛快,つうかい,痛快時代,痛快無比,痛快アクション,痛快作,痛快活劇
卒論,そつろん,卒論発表,卒論を書く,卒論指導,卒論提出,卒論生
黒潮,くろしお,黒潮町,黒潮市場,黒潮の海,黒潮温泉,郡黒潮
退団,たいだん,退団後,退団公演,退団発表,限りで退団,退団選手
裏山,うらやま,寺の裏山,神社の裏山,家の裏山,民家の裏山,学校の裏山
憲章,けんしょう,国連憲章,市民憲章,連合憲章,行動憲章,野球憲章
純度,じゅんど,純度が高い,純度高,色純度,純度試験,最高純度
割当,わりあて,第三者割当,割当増資,割当先,割当基準,割当量
吸水,きゅうすい,吸水性,吸水率,吸水力,吸水速,吸水口
創意,そうい,創意工夫,創意と工夫,地域の創意,創意的,民間の創意
権益,けんえき,権益を守る,海洋権益,権益を持つ,権益確保,権益層
体裁,ていさい,体裁を整える,体裁をとる,体裁上,文書の体裁,体裁が悪い
純白,じゅんぱく,純白の花,純白のドレス,純白の雪,純白のウェディング,純白色
賃貸借,ちんたいしゃく,賃貸借取引,建物賃貸借,通常の賃貸借,建物の賃貸借,短期賃貸借
別段,べつだん,別段変わる
版権,はんけん,版権物,版権元,版権モノ,版権キャラ,版権イラスト
尺八,しゃくはち,尺八教室,尺八演奏,尺八奏者,尺八の演奏,尺八の音
乱用,らんよう,薬物乱用,乱用防止,職権乱用,権の乱用,権力の乱用
傷つく,きずつく,傷つく言葉,今も傷つく,少し傷つく,戦争で傷つく,戦いで傷つく
直視,ちょくし,現実を直視,現実を直視する,直視出来,事実を直視,歴史を直視
就航,しゅうこう,便就航,航路に就航,就航記念,便の就航,新規就航
裁き,さばき,裁きを受ける,神の裁き,裁きを下す,法の裁き,天の裁き
国策,こくさく,国策会社,国策映画,日本の国策,国策的,国策事業
危害,きがい,危害を加える,危害防止,危害を加えられる,他人に危害,人間に危害
衆生,しゅじょう,衆生を救う,衆生済度,衆生救済,一切の衆生,衆生を救済
裏地,うらじ,裏地付き,表地と裏地,裏地付,裏地つき,裏地の色
注視,ちゅうし,動向を注視,動向を注視する,注視する必要,動きを注視,動向に注視
我家,わがや,我家の庭,我家の場合
幕開け,まくあけ,時代の幕開け,幕開けとなる,年の幕開け,波乱の幕開け,世紀の幕開け
誤認,ごにん,事実誤認,誤認識,優良誤認,誤認混同,事実の誤認
磁性,じせい,磁性体,強磁性,磁性材料,磁性層,磁性流体
垂れ流し,たれながし,赤字垂れ流し,垂れ流し状態,情報垂れ流し,情報の垂れ流し,垂れ流し日記
客層,きゃくそう,店の客層
傷病,しょうびょう,傷病手当,傷病兵,傷病名,傷病年金,公務傷病
親密,しんみつ,親密度,親密感,親密性,親密交際,親密関係
穴子,あなご,焼き穴子,料理穴子,穴子の天ぷら,穴子天,穴子飯
古泉,こせん,古泉一樹,古泉くん,古泉君,キョンと古泉,三古泉
潮風,しおかぜ,潮風公園,潮風を感じる,潮風王国,潮風を受ける,心地よい潮風
降雪,こうせつ,降雪量,降雪機,降雪時,人工降雪,降雪期
綿密,めんみつ,綿密に計画,綿密に計算,綿密に調査,綿密に調べ,綿密に検討
善良,ぜんりょう,多くの善良
済ませる,すませる,用事を済ませる,受付を済ませる,朝食を済ませる,食事を済ませる,手続きを済ませる
供用,きょうよう,供用開始,供用を開始,供用を開始する,道路の供用,供用中
持論,じろん,持論を展開,私の持論,持論を展開する,持論を述べる,氏の持論
論じる,ろんじる,問題を論じる,性を論じる,関係を論じる,論じるとき,論を論じる
積層,せきそう,積層体,積層板,積層構造,積層ゴム,積層材
尺度,しゃくど,評価尺度,自分の尺度,価値尺度,的尺度,測定尺度
黒幕,くろまく,事件の黒幕,黒幕説,真の黒幕,黒幕的,黒幕さん
天敵,てんてき,天敵利用,土着天敵,一人暮らしの天敵,天敵となる,私の天敵
悪党,あくとう,悪党ども,悪党たち,悪党ぶり,悪党達,悪党共
秘宝,ひほう,秘宝館,死の秘宝,秘宝伝,映画秘宝,アトルガンの秘宝
机上,きじょう,机上の空論,机上論,机上の理論,机上の計算,机上の論理
納骨,のうこつ,納骨堂,納骨式,納骨法要,納骨室,法要と納骨
激変,げきへん,激変の時代,激変期,激変ぶり,年は激変,時代は激変
上値,うわね,上値が重い,上値は重い,上値を追う,上値余地,上値を試す
値動き,ねうごき,値動きとなる,値動きグラフ,値動きをする,全体の値動き,毎日の値動き
聖域,せいいき,聖域の巻物,天空の聖域,最後の聖域
装束,しょうぞく,能装束,装束に身,装束を着,平安装束,戦装束
和訳,わやく,和訳付,英文和訳,語の和訳,和訳お願い,和訳をお願い
閉館,へいかん,閉館時間,入館は閉館,閉館時,閉館後,報告閉館
皮革,ひかく,合成皮革,皮革製品,天然皮革,人工皮革,皮革製
簡略,かんりゃく,簡略版,簡略的,手続きを簡略,手続きの簡略
痛風,つうふう,病痛風,痛風発達,痛風骨折,痛風発作,痛風の原因
連射,れんしゃ,連射速度,連射機能,連射力,連射性能,連射可能
裁定,さいてい,裁定取引,裁定を下す,裁定待ち,裁定買い,裁定委員
純愛,じゅんあい,純愛系,純愛物語,純愛映画,純愛小説,純愛ドラマ
無痛,むつう,無痛整体,無痛性,区の無痛,無痛インプラントクリニック,完全無痛
補欠,ほけつ,補欠選挙,議員補欠,補欠合格,区補欠,補欠選任
熟知,じゅくち,熟知する上,現場を熟知,性を熟知,性を熟知する,内容を熟知
危うい,あやうい,危ういところ,立場が危うい,危ういバランス,危うい状態,危うい感じ
書誌,しょし,書誌情報,書誌学,書誌作成,除く書誌,書誌的
片付ける,かたづける,部屋を片付ける,仕事を片付ける,一言で片付ける,片付ける時,一気に片付ける
洗える,あらえる,洗える着物,機で洗える,洗える布団,足を洗える,洗えるきもの
後姿,うしろすがた,後姿を見る,後姿を見送る,後姿を見つめる
勤続,きんぞく,勤続年数,永年勤続,長期勤続,勤続期間,平均勤続
閉める,しめる,ドアを閉める,窓を閉める,店を閉める,戸を閉める,フタを閉める
目視,もくし,目視チェック,目視検査,目視確認,目視で確認,目視調査
本庁,ほんちょう,本庁舎,神社本庁,市役所本庁,市本庁,県庁本庁
