検索,けんさく,検索結果,検索サイト,検索条件,情報検索,病院検索
空き缶,あきかん,空き缶回収,空き缶やペットボトル,空き缶つぶし,空き缶集め,ペットボトルや空き缶
艦船,かんせん,世界の艦船,米艦船,艦船模型,軍艦船,海軍の艦船
重曹,じゅうそう,重曹泉,重曹を使う,重曹水,重曹を入れる,重曹の活用
錦糸,きんし,錦糸町,錦糸卵,錦糸玉子,錦糸眼科,炎錦糸
窮地,きゅうち,窮地を救う,窮地を脱す,窮地を脱する,絶体絶命の窮地
初診,しょしん,初診時,初診患者,初診の患者,初診の時,初診受付
脊椎,せきつい,性脊椎,脊椎症,脊椎脊髄,脊椎麻酔,脊椎炎
悠久,ゆうきゅう,悠久の歴史,悠久の時,悠久の流れ,悠久の車輪,悠久の時間
塩漬け,しおづけ,桜の塩漬け,花の塩漬け,塩漬け株,葉の塩漬け,塩漬け状態
雑巾,ぞうきん,ボロ雑巾,雑巾掛け,雑巾で拭う,雑巾で拭く,雑巾みたい
巾着,きんちゃく,巾着袋,巾着田,巾着型,巾着付き,似合う巾着
払い戻し,はらいもどし,払い戻しを受ける,払い戻しはできる,チケットの払い戻し,券の払い戻し,払い戻しは致す
残骸,ざんがい,超新星残骸,機の残骸,残骸の中,船の残骸,残骸を見る
泥沼,どろぬま,泥沼状態,戦争の泥沼,泥沼の中,泥沼に足,泥沼の戦い
招き猫,まねきねこ,福招き猫,招き猫まつり,招き猫さん,招き猫美術館,開運招き猫
弦楽,げんがく,弦楽合奏,弦楽アンサンブル,ピアノと弦楽,弦楽部,弦楽と通
二塁,にるい,死二塁,一二塁,二塁走者,一死二塁,二死二塁
逝去,せいきょ,逝去を悼む,歳で逝去,逝去後,逝去の報,氏逝去
捻挫,ねんざ,捻挫永久,爪捻挫,足首の捻挫,捻挫栄養,足首を捻挫
死骸,しがい,虫の死骸,動物の死骸,ダニの死骸,猫の死骸,生物の死骸
誓約,せいやく,誓約書,旨の誓約,誓約する書面,誓約をする
軟式,なんしき,軟式野球,軟式テニス,学童軟式,少年軟式,高校軟式
画伯,がはく,画伯の絵,画伯の作品,清画伯,平山画伯,良介画伯
督促,とくそく,督促状,支払督促,督促手数料,支払い督促,督促を受ける
竜巻,たつまき,竜巻発生,竜巻旋風,竜巻注意,竜巻被害,竜巻注意報
貪欲,とんよく,貪欲に吸収
醸成,じょうせい,雰囲気醸成,意識の醸成,信頼醸成,醸成を図る,感の醸成
四肢,しし,四肢切断,性四肢,四肢障害,四肢末端,四肢まひ
出稼ぎ,でかせぎ,出稼ぎ労働,日本に出稼ぎ,出稼ぎ農民,出稼ぎ中,出稼ぎ先
宰相,さいしょう,国の宰相,宰相府,宰相中将,平民宰相,宰相殿
長蛇,ちょうだ,長蛇の列,長蛇の行列,前に長蛇,待ちの長蛇
晩酌,ばんしゃく,晩酌セット,晩酌をする,晩酌用,毎日の晩酌,今日の晩酌
もの凄い,ものすごい,もの凄い勢い,もの凄い数,もの凄い量,もの凄い音,もの凄く気
塾生,じゅくせい,塾生たち,早稲田塾生,塾の塾生,卒塾生,塾塾生
呪縛,じゅばく,呪縛を解く,プロマシアの呪縛,主義の呪縛,呪縛を超える,過去の呪縛
据え置き,すえおき,据え置き型,金利据え置き,据え置き機,値段据え置き,価格据え置き
駄文,だぶん,駄文失礼,駄文を書く,駄文同盟,駄文にゅうす,長文駄文
懇願,こんがん,必死に懇願
凸凹,でこぼこ,凸凹コンビ,凸凹道,表面の凸凹,凸凹感,凸凹毛穴
産廃,さんぱい,産廃処理,産廃処分,産廃業者,産廃問題,産廃物
蛇足,だそく,蛇足的
賭ける,かける,命を賭ける,人生を賭ける,賭ける川合,全てを賭ける,賭ける男
沸く,わく,沸き肉,沸き出,大いに沸く,沸き待ち,沸く温泉
冷酷,れいこく,冷酷非情,冷酷無比,冷酷非道
乳腺,にゅうせん,乳腺炎,乳腺外科,乳腺症,乳腺腫瘍,乳腺外来
喝采,かっさい,拍手喝采,喝采を浴びる,喝采を送る,喝采を受ける,喝采の中
嘲笑,ちょうしょう,嘲笑の対象,嘲笑の的,嘲笑的,嘲笑を浮かべる
縄張り,なわばり,縄張り争い,縄張り意識,自分の縄張り,縄張り図,城の縄張り
甲羅,こうら,亀の甲羅,甲羅本店,カニの甲羅,甲羅の中,甲羅焼き
酢酸,さくさん,酢酸エチル,酢酸ビニル,酢酸菌,酢酸ナトリウム,氷酢酸
割り箸,わりばし,割り箸を使う,杉の割り箸,割り箸の先,割り箸の袋
困窮,こんきゅう,生活困窮,生活に困窮,住宅に困窮,的困窮,住宅困窮
紡ぎ,つむぎ,言葉を紡ぎ出す
批准,ひじゅん,条約の批准,批准書,条約批准,条約を批准,条約を批准する
地殻,ちかく,地殻変動,地殻活動,地殻構造,地殻内,大陸地殻
断崖,だんがい,断崖の上,ヤセの断崖,断崖上,巣断崖,断崖の下
嗅覚,きゅうかく,嗅覚障害,痛み嗅覚,鋭い嗅覚,嗅覚受容,犬の嗅覚
中頃,なかごろ,世紀中頃,月中頃,年代中頃,月の中頃,時代中頃
検疫,けんえき,検疫所,動物検疫,植物検疫,検疫官,検疫総局
溶媒,ようばい,有機溶媒,溶媒中,溶媒抽出,混合溶媒,極性溶媒
問診,もんしん,問診票,問診表,問診をする,問診を行う,問診を受ける
呪術,じゅじゅつ,呪術師,呪術的,呪術性,呪術協会,関西呪術
少尉,しょうい,ハボック少尉,陸軍少尉,海軍少尉,少尉に任官,少尉殿
遡る,さかのぼる,川を遡る,時代を遡る,時間を遡る,歴史を遡る,少し遡る
奔放,ほんぽう,自由奔放
懐疑,かいぎ,懐疑的,懐疑論,懐疑派,懐疑主義,懐疑心
疫学,えきがく,疫学調査,疫学的,疫学研究,臨床疫学,分子疫学
水筒,すいとう,モスの水筒,水筒を持つ,水筒の水,水筒持参,弁当と水筒
素麺,そうめん,延べ素麺,延素麺,輪素麺,流し素麺,大門素麺
肢体,したい,肢体不自由,肢体障害,白い肢体,美しい肢体,重度の肢体
鬱陶しい,うっとうしい,鬱陶しい梅雨,鬱陶しく感じ,鬱陶しい天気,鬱陶しい季節,鬱陶しい雨
戻れる,もどれる,戻れるはず,戻れるわけ,戻れる場所
頑張れる,がんばれる,頑張れる気,本気で頑張れる,頑張れるはず
戦慄,せんりつ,戦慄を覚える,戦慄迷宮,恐怖と戦慄,太陽と戦慄,戦慄の楽譜
逆戻り,ぎゃくもどり,冬に逆戻り,時代に逆戻り,真冬に逆戻り,生活に逆戻り,状態に逆戻り
顕在,けんざい,顕在意識,顕在的,問題の顕在
銘酒,めいしゅ,全国の銘酒,銘酒市川,世界の銘酒,幻の銘酒,新潟の銘酒
思索,しさく,深い思索,的思索,思索的,思索の中,思索家
廃校,はいこう,廃校となる,廃校一覧,小学校の廃校,廃校舎,廃校を利用
疎い,うとい,疎い私,疎石,疎明,疎植,疎結合
酷使,こくし,目を酷使,目を酷使する,体を酷使,酷使様,体を酷使する
湧き水,わきみず,湧き水を使用,山の湧き水,湧き水を使う,湧き水を利用,湧き水を使用する
硝酸,しょうさん,亜硝酸,硝酸態,硝酸性,硝酸イオン,硝酸ナトリウム
玉砕,ぎょくさい,玉砕覚悟,総員玉砕,億玉砕,玉砕戦,見事に玉砕
酢の物,すのもの,キュウリの酢の物,ワカメの酢の物,煮物や酢の物,大根の酢の物
召還,しょうかん,召還獣,テストと召還,召還魔法,召還士,召還術
提督,ていとく,提督の決断,ネルソン提督,海軍提督,ヤン提督,提督たち
日傘,ひがさ,日傘をさす,日傘を差す,乳母日傘,絵日傘,折りたたみ日傘
疎開,そかい,疎開先,学童疎開,集団疎開,強制疎開,建物疎開
奈落,ならく,奈落の底,奈落の落とし穴,奈落の花
急須,きゅうす,急須の場合,急須の中,急須にお湯,急須に茶
肌着,はだぎ,健康肌着,用肌着,コンビ肌着,赤ちゃんの肌着,肌着の上
憤慨,ふんがい,ハルヒの憤慨,非常に憤慨
公爵,こうしゃく,公爵夫人,公爵家,公爵様,公爵ティア,公爵邸
褒める,ほめる,褒め言葉,褒め称え,自分を褒める,褒め殺し,決して褒める
甚大,じんだい,被害甚大,被害の甚大
打撲,だぼく,眼球打撲,全身打撲,頭部打撲,打撲痛,軽い打撲
甲殻,こうかく,甲殻類,は虫類甲殻,竜の甲殻,甲殻機動,甲殻種
哺乳,ほにゅう,哺乳瓶,哺乳動物,哺乳びん,哺乳ビン,哺乳綱
元帥,げんすい,東郷元帥,平八郎元帥,マ元帥,元帥府,元帥夫人
詐称,さしょう,年齢詐称,学歴詐称,経歴詐称,詐称疑惑,身分詐称
二股,ふたまた,二股に分かれ,二股をかける,二股ラジウム,二股温泉,二股駅
診査,しんさ,健康診査,診査の実施,診査受診,診査を受ける,診査の単価
鉄拳,てっけん,鉄拳制裁,怒りの鉄拳,正義の鉄拳,鉄拳チン,鉄拳鉄人
艦艇,かんてい,海軍艦艇,水上艦艇,海軍の艦艇,軍艦艇,戦闘艦艇
象牙,ぞうげ,象牙質,象牙の塔,象牙色,象牙海岸,象牙印鑑
枕元,まくらもと,私の枕元,枕元にプレゼント,ベッドの枕元,枕元の時計
捻出,ねんしゅつ,費用を捻出,費用を捻出する,時間を捻出,資金捻出,資金を捻出
懸案,けんあん,懸案事項,長年の懸案,懸案となる,最大の懸案,間の懸案
甚だ,はなはだ,甚だ多い,甚だ怪しい,甚だ疑わしい
蚊帳,かや,蚊帳の外,蚊帳の中,蚊帳生地,完全に蚊帳
餌食,えじき,餌食となる,格好の餌食,マスコミの餌食
稚拙,ちせつ,私の稚拙,稚拙すぎ
脱臭,だっしゅう,脱臭効果,脱臭剤,脱臭装置,脱臭機能,菌脱臭
弁償,べんしょう,費用弁償,実費弁償,弁償金,被害弁償,費用の弁償
遮る,さえぎる,言葉を遮る,視界を遮る,光を遮る,日差しを遮る,日光を遮る
非核,ひかく,非核平和,朝鮮半島の非核,非核地帯,非核保有,非核宣言
斑点,はんてん,黒い斑点,白い斑点,赤い斑点,斑点米,斑点模様
家督,かとく,家督を継ぐ,家督相続,家督を相続,家督を譲る,家の家督
所轄,しょかつ,所轄庁,所轄税務署,地の所轄,所轄警察,所轄労働
駄作,ださく,
崇高,すうこう,支配する崇高
勇壮,ゆうそう,勇壮華麗,炎勇壮
厄除け,やくよけ,厄除け祈願,厄除け大師,佐野厄除け,厄除け不動尊,開運厄除け
謹慎,きんしん,謹慎処分,謹慎中,自宅謹慎,期限謹慎,謹慎期間
護摩,ごま,護摩木,護摩供,護摩供養,護摩法要,護摩行
郷愁,きょうしゅう,郷愁を誘う,郷愁を感じる,郷愁を覚える,郷愁感,郷愁を感じさせる
法曹,ほうそう,法曹養成,法曹人口,法曹団,自由法曹,法曹関係
叱る,しかる,子供を叱る,叱るとき,叱る時,子どもを叱る,子を叱る
座禅,ざぜん,座禅を組む,座禅をする,座禅会,座禅草,座禅体験
窯元,かまもと,焼の窯元,窯元さん,清水焼の窯元,清水焼窯元,器窯元
筋腫,きんしゅ,子宮筋腫,筋腫の手術,筋腫核,筋腫や子宮,筋腫の治療
泥酔,でいすい,泥酔状態,泥酔記憶,泥酔論説,満腹泥酔,泥酔会見
補填,ほてん,赤字補填,損失補填,税金で補填,骨補填,赤字を補填
塩釜,しおがま,塩釜市,塩釜港,塩釜駅,塩釜神社,塩釜焼き
拒む,こばむ,検査を拒む,拒む理由,請求を拒む,侵入を拒む,拒む場合
鬱病,うつびょう,鬱病患者,鬱病と診断,鬱病人間
崖っぷち,がけっぷち,崖っぷち犬,崖っぷちのエガ,崖っぷちアイドル
妖艶,ようえん,
脱臼,だっきゅう,股関節脱臼,亜脱臼,関節脱臼,膝蓋骨脱臼,脱臼骨折
怨念,おんねん,怨念洞
斉唱,せいしょう,国歌斉唱,君が代斉唱,校歌斉唱,斉唱時,国歌を斉唱
紡ぐ,つむぐ,言葉を紡ぐ,糸を紡ぐ,物語を紡ぐ,紡ぎ糸,夢を紡ぐ
中佐,ちゅうさ,陸軍中佐,海軍中佐,広瀬中佐,中佐殿
統廃合,とうはいごう,学校統廃合,学校の統廃合,統廃合計画,統廃合問題,高校の統廃合
覇王,はおう,覇王丸,覇王別,覇王伝,天の覇王,覇王色
廃盤,はいばん,廃盤となる,廃盤品,廃盤商品,現在廃盤
咽頭,いんとう,咽頭炎,咽頭痛,咽頭がん,上咽頭,咽頭結膜
巣窟,そうくつ,悪の巣窟,臭いの巣窟,巣窟と化す,巣窟となる,プレミアの巣窟
罵声,ばせい,罵声を浴びせる,罵声を浴びせられる,罵声を浴びる,ヤジや罵声,罵声をあびせる
釣り船,つりぶね,釣り船予約,釣り船の詳細,イカ釣り船,県の釣り船,釣り船情報
酷似,こくじ,非常に酷似
怠惰,たいだ,
滅菌,めっきん,滅菌処理,滅菌済み,滅菌器,蒸気滅菌,滅菌装置
腰椎,ようつい,腰椎椎間板,腰椎分離,腰椎麻酔,腰椎症,性腰椎
送還,そうかん,強制送還,本国送還,北朝鮮に送還,本国に送還
急騰,きゅうとう,価格の急騰,価格急騰,急騰銘柄,株価急騰,円急騰
怨霊,おんりょう,怨霊信仰,道真の怨霊,怨霊となる,怨霊たち,怨霊を鎮める
球菌,きゅうきん,ブドウ球菌,肺炎球菌,球菌ワクチン,連鎖球菌,レンサ球菌
見附,みつけ,赤坂見附,見附市,見附駅,県見附,見附の味
捕捉,ほそく,捕捉率,中性子捕捉,捕捉療法,アンテナに捕捉
滋養,じよう,滋養強壮,滋養分,場合の滋養,滋養食,滋養たっぷり
釜飯,かまめし,料理釜飯,釜飯牛,峠の釜飯,釜飯屋,釜飯と串焼
捜す,さがす,行方を捜す,言葉を捜す,犯人を捜す,捜す旅,男を捜す
煮汁,にじる,煮汁が少ない,煮汁をかける,煮汁ごと,黒豆の煮汁,鍋に煮汁
剥き出し,むきだし,敵意剥き出し,感情剥き出し,剥き出しのまま,心剥き出し
呈する,ていする,症状を呈する,疑問を呈する,苦言を呈する,様相を呈する,活況を呈する
側溝,そっこう,道路側溝,側溝の蓋,側溝蓋,道路の側溝,側溝のフタ
臭気,しゅうき,臭気対策,臭気判定,臭気指数,臭気成分,独特の臭気
肉汁,にくじゅう,出る肉汁,肉汁たっぷり,肉汁うどん
遮光,しゃこう,遮光性,遮光器,遮光ネット,遮光板,遮光率
上棟,じょうとう,上棟式,上棟祭,邸の上棟,邸上棟,上棟祝い
培地,ばいち,寒天培地,液体培地,用培地,培地を用いる,培地で培養
懲罰,ちょうばつ,懲罰的,懲罰動議,懲罰委員,懲罰房,懲罰を受ける
賄賂,わいろ,賄賂を受け取る,賄賂を要求,賄賂を贈る,賄賂を収受,賄賂を渡す
茶漬け,ちゃづけ,梅茶漬け,島茶漬け,茶漬けセット,梅干し茶漬け
雑菌,ざっきん,雑菌の繁殖,中の雑菌,カビや雑菌,雑菌の増殖,雑菌だらけ
宣誓,せんせい,選手宣誓,宣誓書,宣誓をする,服務の宣誓,宣誓を行う
鹿角,ろっかく,鹿角市,県鹿角,鹿角霊,鹿角郡,鹿角花輪
浮腫,ふしゅ,リンパ浮腫,脳浮腫,性浮腫,浮腫治療,斑浮腫
強壮,きょうそう,滋養強壮,強壮剤,強壮作用,強壮薬,強壮効果
留袖,とめそで,振袖や留袖,黒留袖,色留袖,振袖留袖,留袖着物
磨耗,まもう,耐磨耗,磨耗性,偏磨耗,タイヤの磨耗,対磨耗
渇き,かわき,喉の渇き,渇きを癒す,口の渇き,渇きを潤す,渇きを覚える
霜降り,しもふり,霜降り肉,霜降り和牛,霜降り牛,霜降り馬刺し,牛霜降り
酷評,こくひょう,酷評の嵐,位酷評,酷評を受ける,議員を酷評
肌色,はだいろ,明るい肌色,肌色のストッキング
下僕,げぼく,下僕たち,下僕の攻撃,様と下僕,土塊の下僕,下僕達
妖魔,ようま,妖魔ユキ,妖魔夜行,妖魔たち,妖魔陣
煩雑,はんざつ,非常に煩雑,手続きの煩雑
拳法,けんぽう,中国拳法,日本拳法,拳法家,拳法部,拳法の達人
石臼,いしうす,石臼でひく,電動石臼,石臼引き,石臼製粉,石臼を使う
選択肢,せんたくし,選択肢がない,選択肢もある,選択肢はない,選択肢の一つ,選択肢を選ぶ
徹底的,てっていてき,徹底的に研究,徹底的に追求,徹底的に調べ,徹底的に排除,徹底的に調査
症候群,しょうこうぐん,脚症候群,呼吸症候群,症候群をわかる,シックハウス症候群,メタボリック症候群
披露宴,ひろうえん,結婚披露宴,披露宴会場,結婚式や披露宴,結婚式の披露宴,披露宴に出席
核兵器,かくへいき,核兵器廃絶,核兵器開発,核兵器保有,核兵器の廃絶,核兵器を持つ
子猫,こねこ,子猫ちゃん,子猫たち,子猫くま,子猫達,子猫用
不祥事,ふしょうじ,不祥事を起こす,企業不祥事,一連の不祥事,企業の不祥事,不祥事年表
潜水艦,せんすいかん,潜水艦乗り,潜水艦戦
不愉快,ふゆかい,非常に不愉快,不愉快に感じ,大変不愉快
顕微鏡,けんびきょう,電子顕微鏡,顕微鏡写真,光学顕微鏡,顕微鏡で見る,顕微鏡で観察
前立腺,ぜんりつせん,前立腺肥大,前立腺がん,前立腺炎,前立腺ガン,慢性前立腺
自閉症,じへいしょう,自閉症児,機能自閉症,自閉症スペクトラム,自閉症の子ども,自閉症協会
不機嫌,ふきげん,
後遺症,こういしょう,事故の後遺症,後遺症を残す,脳卒中後遺症,梗塞の後遺症,脳卒中の後遺症
本塁打,ほんるいだ,本塁打を放つ,本塁打王,満塁本塁打,点本塁打,ソロ本塁打
甲状腺,こうじょうせん,甲状腺機能,甲状腺ホルモン,甲状腺がん,甲状腺疾患,甲状腺の病気
股関節,こかんせつ,性股関節,股関節症,人工股関節,股関節痛,股関節脱臼
駄菓子,だがし,駄菓子屋,駄菓子菓子,懐かしい駄菓子,近所の駄菓子,駄菓子さん
不妊症,ふにんしょう,不妊症の原因,出産不妊症,不妊症治療,男性不妊症,不妊症の治療
合併症,がっぺいしょう,病の合併症,病合併症,合併症を起こす,術後合併症,合併症を引き起こす
乳酸菌,にゅうさんきん,乳酸菌飲料,性乳酸菌,乳酸菌生産,種類の乳酸菌,乳酸菌発酵
処方箋,しょほうせん,診断と処方箋,院外処方箋,医師の処方箋,処方箋調剤,サプリメント処方箋
恐怖症,きょうふしょう,高所恐怖症,対人恐怖症,閉所恐怖症,男性恐怖症,恐怖症の私
哺乳類,ほにゅうるい,類哺乳類,哺乳類展,哺乳類犬,大型哺乳類,小型哺乳類
浄化槽,じょうかそう,処理浄化槽,合併浄化槽,浄化槽設置,浄化槽管理,浄化槽法
多汗症,たかんしょう,薬多汗症,多汗症妊娠,多汗症治療,多汗症尋常,症多汗症
悪循環,あくじゅんかん,悪循環を断ち切る,悪循環を繰り返す,言う悪循環,悪循環となる,痛みの悪循環
修羅場,しゅらば,修羅場をくぐる,修羅場中,修羅場と化す,修羅場をくぐり抜ける,修羅場を潜る
土鍋,どなべ,土鍋で炊く,土鍋ごはん,土鍋ご飯,炊飯土鍋,土鍋釜
神経症,しんけいしょう,神経症状,不安神経症,強迫神経症,神経症的,自律神経症
不謹慎,ふきんしん,
盲導犬,もうどうけん,盲導犬協会,日本盲導犬,盲導犬育成,盲導犬訓練,盲導犬の受け入れ
椎間板,ついかんばん,椎間板ヘルニア,腰椎椎間板,話椎間板,椎間板症,椎間板変性
太極拳,たいきょくけん,式太極拳,太極拳教室,武術太極拳,太極拳をする,健康太極拳
不眠症,ふみんしょう,不眠症対策,不眠症治療,不眠症の原因,不眠症の対策,不眠症の治療
睡眠薬,すいみんやく,睡眠薬を飲む,昨日の睡眠薬,睡眠薬入り,睡眠薬を飲ませる,睡眠薬を服用
天丼,てんどん,天丼店,ミニ天丼,天丼セット,天丼を食べる,海老天丼
大腸菌,だいちょうきん,性大腸菌,大腸菌群,大腸菌感染,病原大腸菌
弦楽器,げんがっき,その他弦楽器,弦楽器奏者,弦楽器の音,楽器弦楽器,弦楽器スコア
亜熱帯,あねったい,亜熱帯植物,亜熱帯性,亜熱帯地域,亜熱帯気候,亜熱帯地方
羞恥心,しゅうちしん,性的羞恥心
若旦那,わかだんな,若旦那さん,屋の若旦那,店の若旦那,掛川の若旦那,若旦那様
鍛冶屋,かじや,鍛冶屋町,村の鍛冶屋,鍛冶屋文蔵
頭蓋骨,ずがいこつ,頭蓋骨骨折,頭蓋骨矯正,頭蓋骨の中,頭蓋骨陥没,人間の頭蓋骨
狭心症,きょうしんしょう,狭心症生活,狭心症の治療,耳下腺炎狭心症,狭心症や心筋梗塞,療法狭心症
不明瞭,ふめいりょう,意味不明瞭,言語不明瞭
覚醒剤,かくせいざい,覚醒剤所持,覚醒剤使用,覚醒剤取締,覚醒剤中毒,覚醒剤で逮捕
二塁打,にるいだ,適時二塁打,二塁打を放つ,点二塁打,線二塁打,二塁打で出塁
表彰台,ひょうしょうだい,位表彰台,表彰台を獲得,初の表彰台,表彰台を獲得する,表彰台独占
一遍,いっぺん,一遍上人,一遍聖
